cod_qc,nombre,lat,lon,altitud_oficial,dept,sector,umbral_pp,umbral_t,radio_pp,radio_t,delta_z,clase_diagnostico,area_pp_km2,radio_pp_km,n_px_pp,area_temp_km2,radio_temp_km,n_px_temp
qc47E880E2,PICHARI,-12.52296,-73.83956,570,CUSCO,SELVA CENTRAL BAJA,100,200,40,80,-0.2979736328125,Consistente,364.6242,10.773,405138,1716.7572,23.377,1907508
qc00210007,PAUCARTAMBO,-13.3177,-71.59741,2905,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,10.5,Consistente,64.3041,4.524,71449,398.9385,11.269,443265
qc4722A338,ACJANACO ,-13.19672,-71.61941,3466,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-7.304931640625,Consistente,158.67,7.107,176300,806.4486,16.022,896054
qc00113254,QUINCEMIL,-13.2289,-70.7544,643,CUSCO,SELVA SUR ALTA,100,200,35,70,-12.62786865234375,Consistente,784.5102,15.802,871678,3496.3479,33.36,3884831
qc00113247,ASHANAKU,-13.58048,-71.58878,3944,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-6.78125,Consistente,256.8447,9.042,285383,1884.0645,24.489,2093405
qc4729867C,QORIHUAYRACHINA,-13.22419,-72.43383,2517,CUSCO,SELVA SUR ALTA,100,200,35,70,11.181640625,Consistente,139.3452,6.66,154828,1302.669,20.363,1447410
qc472935F2,INTIHUATANA H,-13.18517,-72.52319,1787,CUSCO,SELVA SUR ALTA,100,200,35,70,-368.115966796875,Sospechosa,96.9426,5.555,107714,983.8332,17.696,1093148
qc472897F0,MACHUPICCHU,-13.16655,-72.54585,2399,CUSCO,SELVA SUR ALTA,100,200,35,70,-131.009765625,Discrepancia leve,167.6763,7.306,186307,1404.1224,21.141,1560136
qc472852EE,INTIHUATANA M,-13.17418,-72.56036,1778,CUSCO,SELVA SUR ALTA,100,200,35,70,-4.122802734375,Consistente,101.8404,5.694,113156,1071.0936,18.465,1190104
qc4727C11E,HUAYLLABAMBA,-13.26581,-72.44881,2970,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,-20.004150390625,Consistente,54.2502,4.156,60278,538.5375,13.093,598375
qc4729950A,PACAYMAYO,-13.23419,-72.49841,3615,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,15.844482421875,Consistente,93.1842,5.446,103538,818.0676,16.137,908964
qc472A9204,CHILCA,-13.2235,-72.34056,2769,CUSCO,SIERRA SUR ORIENTAL,100,200,20,40,6.5,Consistente,46.8216,3.861,52024,435.8097,11.778,484233
