cod_qc,nombre,lat,lon,altitud_oficial,altitud_dem,delta_z,clase_diagnostico,dept,fuente,sector,cod_sector,umbral_pp,umbral_t,radio_pp,radio_t
qc00251100,FLOR DE PUNGA,-5.4077,-74.1569,135,96.5,38.5,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00100132,SHANUSI,-6.06703,-76.2505,154,158.93345642089844,-4.9334564208984375,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00105092,FLOR DE PUNGA,-5.4055,-74.1591,135,103.64852905273438,31.351470947265625,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00105090,BRETAÑA,-5.2539,-74.3444,106,105.16458129882812,0.835418701171875,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00104067,BAGAZAN,-4.724,-73.5321,100,95.77754974365234,4.222450256347656,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00251104,GENARO HERRERA,-4.902,-73.6715,103,92.0,11.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00251102,CONTAMANA,-7.3518,-75.0109,136,126.0,10.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00100034,CONTAMANA,-7.3526,-75.0064,166,164.72280883789062,1.277191162109375,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00116052,PAMPA UMALZO (TITIJONES),-16.8439,-70.5494,4433,4425.2978515625,7.7021484375,Consistente,MOQUEGUA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00117031,TUMILACA,-17.1277,-70.8369,1929,1927.4974365234375,1.5025634765625,Consistente,MOQUEGUA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
