cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc47292684,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,10.29,338.0,True,True,,,,2736.0,False
qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00113067,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,10.305,346.0,True,True,,,,2744.0,False
qc00151503,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,10.311,346.0,True,True,0.9532,0.0,,2398.0,False
qc00151503,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc47292684,HUACHOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,0.439,8.0,True,True,,,,2736.0,False
qc00000659,ACOBAMBA,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00112067,ACOBAMBA,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,1.06,0.0,True,True,,,,3371.0,False
qc00156126,HUANCALPI,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00112142,HUANCALPI,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,4.577,0.0,True,True,,,,3855.0,False
qc00000690,CCATCCA,CUSCO,SIERRA SUR ORIENTAL,qc00156306,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,29.942,15.0,True,True,0.1601,8.9e-05,,3696.0,False
qc00000690,CCATCCA,CUSCO,SIERRA SUR ORIENTAL,qc00113247,ASHANAKU,CUSCO,SIERRA SUR ORIENTAL,4.495,263.0,True,True,,,,3944.0,False
qc00000690,CCATCCA,CUSCO,SIERRA SUR ORIENTAL,qc00113116,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,29.949,15.0,True,True,,,,3696.0,False
qc00156306,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,qc00000690,CCATCCA,CUSCO,SIERRA SUR ORIENTAL,29.942,15.0,True,True,0.1601,8.9e-05,,3681.0,False
qc00156306,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,qc4722A338,ACJANACO ,CUSCO,SIERRA SUR ORIENTAL,19.311,230.0,True,True,,,,3466.0,False
qc00156306,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,qc00113247,ASHANAKU,CUSCO,SIERRA SUR ORIENTAL,25.743,248.0,True,True,,,,3944.0,False
qc00156306,COLQUEPATA,CUSCO,SIERRA SUR ORIENTAL,qc00113041,CCATCCA,CUSCO,SIERRA SUR ORIENTAL,29.938,15.0,True,True,,,,3681.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,24.032,162.0,True,True,0.3788,0.0,,3212.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,24.234,100.0,True,True,0.3891,0.0,,3150.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,38.91,48.0,True,True,0.4261,0.0,,3002.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,23.547,169.0,True,True,,,,3219.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00100044,GRANJA KAYRA,CUSCO,SIERRA SUR ORIENTAL,23.567,169.0,True,True,,,,3219.0,False
qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,qc00113122,CAICAY,CUSCO,SIERRA SUR ORIENTAL,24.573,70.0,True,True,,,,3120.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,26.036,148.0,True,True,0.8955,0.0,,3150.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc00100101,PISAC,CUSCO,SIERRA SUR ORIENTAL,0.397,0.0,True,True,,,,3002.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc00250303,PISAC,CUSCO,SIERRA SUR ORIENTAL,0.849,36.0,True,True,,,,2966.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc472A6280,NUEVO PISAC,CUSCO,SIERRA SUR ORIENTAL,0.852,36.0,True,True,,,,2966.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc472976F8,CALCA,CUSCO,SIERRA SUR ORIENTAL,14.658,81.0,True,True,,,,2921.0,False
qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,qc00100044,GRANJA KAYRA,CUSCO,SIERRA SUR ORIENTAL,15.814,217.0,True,True,,,,3219.0,False
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc472A6280,NUEVO PISAC,CUSCO,SIERRA SUR ORIENTAL,15.05,253.0,True,True,,,,2966.0,False
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc00250303,PISAC,CUSCO,SIERRA SUR ORIENTAL,15.054,253.0,True,True,,,,2966.0,False
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc00100101,PISAC,CUSCO,SIERRA SUR ORIENTAL,15.445,217.0,True,True,,,,3002.0,False
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,15.837,217.0,True,True,,,,3002.0,False
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,19.552,69.0,True,True,,,,3150.0,False
