estacion,cod,cod_qc,cod_ho,lat,lon,altitud,departamento
QUEROCOTILLO,153109,qc00153109,ho00153109,-6.27361,-79.03694,1970,CAJAMARCA
QUEBRADA SHUGAR,153108,qc00153108,ho00153108,-6.68778,-78.45694,3400,CAJAMARCA
CHUGUR,153208,qc00153208,ho00153208,-6.67056,-78.73694,2757,CAJAMARCA
LA CASCARILLA,349,qc00000349,ho00000349,-5.67175,-78.89767,1976,CAJAMARCA
CHONTALI,250,qc00000250,ho00000250,-5.64389,-79.09,1626,CAJAMARCA
EL LIMON,241,qc00000241,ho00000241,-5.91806,-79.3175,1255,CAJAMARCA
HACIENDA PUCARA,153107,qc00153107,ho00153107,-6.04167,-79.13389,1018,CAJAMARCA
SALLIQUE,152129,qc00152129,ho00152129,-5.65028,-79.31694,1804,CAJAMARCA
TOCMOCHE,153103,qc00153103,ho00153103,-6.40806,-79.35583,1435,CAJAMARCA
LLAMA,341,qc00000341,ho00000341,-6.51444,-79.1225,2096,CAJAMARCA
CHOTANO LAJAS,153235,qc00153235,ho00153235,-6.55972,-78.74833,2137,CAJAMARCA
COCHABAMBA,353,qc00000353,ho00000353,-6.46,-78.88861,1653,CAJAMARCA
CACHACHI,153223,qc00153223,ho00153223,-7.45083,-78.26861,3203,CAJAMARCA
CAJABAMBA,373,qc00000373,ho00000373,-7.62167,-78.05111,2960,CAJAMARCA
SAN JUAN,369,qc00000369,ho00000369,-7.29083,-78.49583,2469,CAJAMARCA
ASUNCION,393,qc00000393,ho00000393,-7.32611,-78.51583,2270,CAJAMARCA
AUGUSTO WEBERBAUER,304,qc00000304,ho00000304,-7.1675,-78.49306,2660,CAJAMARCA
SAN BENITO,153201,qc00153201,ho00153201,-7.42833,-78.92667,1600,CAJAMARCA
CHILETE,153203,qc00153203,ho00153203,-7.21972,-78.83806,848,CAJAMARCA
CHIRINOS,260,qc00000260,ho00000260,-5.30861,-78.8975,1772,CAJAMARCA
TABACONAS,240,qc00000240,ho00000240,-5.32194,-79.28806,1905,CAJAMARCA
SAN MARCOS,370,qc00000370,ho00000370,-7.3225,-78.1725,2298,CAJAMARCA
LIVES,153111,qc00153111,ho00153111,-7.07944,-79.04056,1931,CAJAMARCA
UDIMA,153110,qc00153110,ho00153110,-6.81478,-79.09381,2466,CAJAMARCA
CHANCAY BA�OS,395,qc00000395,ho00000395,-6.575,-78.86722,1634,CAJAMARCA
GRANJA KCAYRA,607,qc00000607,ho00000607,-13.55694,-71.87528,3219,CUSCO
ACOMAYO,687,qc00000687,ho00000687,-13.91694,-71.68361,3212,CUSCO
POMACANCHI,812,qc00000812,ho00000812,-14.02806,-71.57278,3681,CUSCO
PISAC,844,qc00000844,ho00000844,-13.41611,-71.84972,3002,CUSCO
PARURO,686,qc00000686,ho00000686,-13.7675,-71.84472,3050,CUSCO
CAY CAY,809,qc00000809,ho00000809,-13.60028,-71.70028,3150,CUSCO
COLQUEPATA,156306,qc00156306,ho00156306,-13.36306,-71.67306,3696,CUSCO
CCATCCA,690,qc00000690,ho00000690,-13.61,-71.56028,3681,CUSCO
HUANCALPI,156126,qc00156126,ho00156126,-12.53944,-75.23667,3855,HUANCAVELICA
ACOBAMBA,659,qc00000659,ho00000659,-12.85306,-74.56028,3371,HUANCAVELICA
LIRCAY,657,qc00000657,ho00000657,-12.98194,-74.71808,3307,HUANCAVELICA
HUACHOS,151503,qc00151503,ho00151503,-13.22061,-75.53342,2744,HUANCAVELICA
SAN JUAN DE CASTROVIRREYNA,156114,qc00156114,ho00156114,-13.21197,-75.62758,2398,HUANCAVELICA
CHOCLOCOCHA,156130,qc00156130,ho00156130,-13.10028,-75.07369,4547,HUANCAVELICA
CORDOVA,157101,qc00157101,ho00157101,-14.03361,-75.16694,3225,HUANCAVELICA
TUNEL CERO,647,qc00000647,ho00000647,-13.25931,-75.08603,4475,HUANCAVELICA
SANTIAGO DE CHOCORVOS,156123,qc00156123,ho00156123,-13.83308,-75.25083,2794,HUANCAVELICA
TAMBO,156122,qc00156122,ho00156122,-13.69168,-75.27426,3138,HUANCAVELICA
ACOSTAMBO,625,qc00000625,ho00000625,-12.36611,-75.05639,3603,HUANCAVELICA
SALCABAMBA,6200,qc00006200,ho00006200,-12.19944,-74.78583,2960,HUANCAVELICA
CANCHAN,457,qc00000457,ho00000457,-9.92095,-76.30962,1987,HUANUCO
HUANUCO,404,qc00000404,ho00000404,-9.95201,-76.24856,1914,HUANUCO
SAN RAFAEL,552,qc00000552,ho00000552,-10.32924,-76.17652,2696,HUANUCO
TINGO MARIA,468,qc00000468,ho00000468,-9.3085,-76.00044,645,HUANUCO
TULUMAYO,469,qc00000469,ho00000469,-9.14706,-76.00944,612,HUANUCO
SAN CAMILO,700,qc00000700,ho00000700,-14.07325,-75.71097,407,ICA
HACIENDA BERNALES,650,qc00000650,ho00000650,-13.74119,-75.96636,294,ICA
PAMPA BLANCA,157102,qc00157102,ho00157102,-14.23694,-75.10361,1025,ICA
RIO GRANDE,698,qc00000698,ho00000698,-14.52644,-75.21306,323,ICA
OCUCAJE,730,qc00000730,ho00000730,-14.37839,-75.68206,311,ICA
HUAMANI,640,qc00000640,ho00000640,-13.84156,-75.60723,790,ICA
FONAGRO (CHINCHA),791,qc00000791,ho00000791,-13.45781,-76.13425,63,ICA
SAN JUAN DE YANAC,156113,qc00156113,ho00156113,-13.21172,-75.78571,2498,ICA
COPARA,727,qc00000727,ho00000727,-14.97498,-74.89081,587,ICA
SANTA ANA,477,qc00000477,ho00000477,-12.00417,-75.22083,3301,JUNIN
VIQUES,608,qc00000608,ho00000608,-12.16306,-75.23528,3185,JUNIN
INGENIO,155231,qc00155231,ho00155231,-11.88083,-75.28778,3373,JUNIN
RICRAN,155229,qc00155229,ho00155229,-11.53944,-75.52389,3667,JUNIN
CARHUACAYAN,155115,qc00155115,ho00155115,-11.2,-76.28333,4127,JUNIN
HUAYAO,635,qc00000635,ho00000635,-12.03833,-75.33806,3316,JUNIN
YANTAC,155121,qc00155121,ho00155121,-11.33333,-76.4,4617,JUNIN
JAUJA,503,qc00000503,ho00000503,-11.78664,-75.48689,3363,JUNIN
JULCAN,154101,qc00154101,ho00154101,-8.0425,-78.48583,3385,LA LIBERTAD
CALLANCAS,153101,qc00153101,ho00153101,-7.7675,-78.47722,1501,LA LIBERTAD
SINSICAP,153206,qc00153206,ho00153206,-7.85083,-78.75583,2315,LA LIBERTAD
HUAMACHUCO,374,qc00000374,ho00000374,-7.81917,-78.04,3186,LA LIBERTAD
CACHICADAN,154103,qc00154103,ho00154103,-8.09167,-78.14944,2900,LA LIBERTAD
HUACAMARCANGA,154112,qc00154112,ho00154112,-8.12139,-78.29306,3885,LA LIBERTAD
QUIRUVILCA,154102,qc00154102,ho00154102,-8.00417,-78.30778,4047,LA LIBERTAD
